	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1290630	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1291283	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1292042	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1292110	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1296220	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1305859	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU1307214	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU278181	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU35	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU38154	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU734495	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU78734	Fungi	Ascomycota	Ascomycota_incertae_sedis	Trichosphaeriales	Trichosphaeriales_incertae_sedis	Nigrospora	Nigrospora
OTU811237	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria
OTU104	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU105	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU1120109	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU1143991	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU190	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU205568	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU209459	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU215203	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU215236	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU216	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU217084	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU2277	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU2350	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU273982	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU351971	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU355227	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU449154	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU590059	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU601556	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU636830	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU774594	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU776034	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU785552	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU7888	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU928417	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU9882	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium_complex	Cladosporium_complex
OTU1137700	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU1466	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU278	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU619731	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU901945	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU907478	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU909719	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Davidiella	Davidiella
OTU206781	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU209283	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU215892	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU218195	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU238	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU240	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU305	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU437261	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU551	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU57	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU5	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU621315	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU636994	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU771283	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU773287	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU774575	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU774682	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU775853	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU823997	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU899508	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU8	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU901347	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU904297	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU905864	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU906416	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU906985	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU908217	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU908460	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU910432	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU911133	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU911200	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU913308	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU913786	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU914921	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU914967	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU917769	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
