 	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC10	BC11	BC12	BC13	BC14	BC15	BC16	BC17	BC18	BC19	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	BC34	BC35	BC36	BC37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC48	BC49	BC50	BC51	BC52	BC53	BC54	BC55	BC56	BC57	BC58	BC59	BC60	BC61	BC62	BC63	BC64	BC65	BC66	BC67	BC68	BC69	BC70	BC71	BC72	BC73	BC74	BC75	BC76	BC77	BC78	BC79	BC80	BC81	BC82	BC83	BC84	BC85	BC86	BC87	BC88	BC89	BC90	BC91	BC92	BC93	BC94	BC95	BC96
OTU1	2	96	334	125	191	147	24507	342	17436	26573	21684	208	132	23	283	201	188	48	8089	9140	9265	11684	34	29	118	117	535	93	343	28859	5951	3675	8594	10710	195	509	59	12	89	242	479	10149	1291	17164	8729	18945	37	88	131	34	71	4	48	2752	23904	7949	669	10790	124	471	49	75	377	33	49	773	20458	16843	13520	80	146	53	139	104	298	31	116	56	30789	15959	10102	775	160	167	421	84	499	85	121	1006	18066	12330	14860	281	6
OTU10	5	92	37	35	12	559	358	1961	773	4232	244	109	296	288	59	24	35	269	126	74	162	415	39	30	70	11	29	9	162	970	4879	49	169	559	63	202	6	3	106	25	191	462	143	103	150	364	9	15	16	19	32	0	68	474	328	15	33	428	517	47	9	4	15	3	383	2232	63	409	182	228	37	85	41	49	77	0	207	51	1224	87	288	46	187	3	134	10	8	9	206	327	272	62	129	313	4
OTU100	5	29	9	21	5	19	6	34	26	14	1	36	17	7	38	8	7	4	2	14	2	25	10	6	23	4	27	9	59	25	125	6	0	7	27	79	15	4	10	2	12	9	17	1	0	4	13	7	13	13	24	0	3	26	3	5	18	12	51	77	9	11	15	1	16	31	0	3	8	23	39	13	47	12	21	0	2	16	7	11	16	10	52	4	4	6	17	3	12	32	0	4	1	11	9
OTU100039	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU100069	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10022	0	3	6	2	0	0	15	5	12	0	2	2	0	0	1	1	0	0	2	2	1	1	3	0	0	0	0	0	0	2	3	0	2	0	1	0	0	0	0	0	2	4	0	0	0	3	0	0	0	0	1	0	0	1	3	1	0	9	0	1	0	1	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
OTU1002337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
OTU1002572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	10	0	2	0	0	0	1	0	0	0	3	5	3	1	0	0	2	1	0	3	0	2	2	4	8	1	0
OTU100374	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU100390	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU100429	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
